gravite,count,dep
1,1269,1
2,2284,1
1,614,2
2,1104,2
1,711,3
2,1135,3
1,602,4
2,1047,4
1,802,5
2,1266,5
1,3035,6
2,4378,6
1,701,7
2,1260,7
1,258,8
2,481,8
1,490,9
2,822,9
1,1618,10
2,2218,10
1,1325,11
2,2065,11
1,667,12
2,1224,12
1,10938,13
2,17468,13
1,2084,14
2,3066,14
1,536,15
2,751,15
1,502,16
2,995,16
1,2099,17
2,3124,17
1,683,18
2,1026,18
1,593,19
2,1044,19
1,755,21
2,1241,21
1,1722,22
2,2687,22
1,190,23
2,276,23
1,773,24
2,1297,24
1,1371,25
2,1985,25
1,1166,26
2,1970,26
1,1696,27
2,2690,27
1,858,28
2,1429,28
1,2857,29
2,4595,29
1,1559,30
2,2808,30
1,2814,31
2,3998,31
1,483,32
2,899,32
1,6331,33
2,8017,33
1,2641,34
2,4150,34
1,3562,35
2,4625,35
1,361,36
2,665,36
1,2816,37
2,3748,37
1,2644,38
2,4443,38
1,447,39
2,916,39
1,602,40
2,1030,40
1,716,41
2,1204,41
1,1566,42
2,2729,42
1,563,43
2,1028,43
1,2258,44
2,3382,44
1,2126,45
2,3033,45
1,345,46
2,563,46
1,782,47
2,1373,47
1,204,48
2,453,48
1,2656,49
2,4102,49
1,1802,50
2,2496,50
1,2327,51
2,3023,51
1,370,52
2,675,52
1,474,53
2,744,53
1,2471,54
2,3466,54
1,343,55
2,676,55
1,2074,56
2,3301,56
1,1328,57
2,2258,57
1,577,58
2,1009,58
1,4089,59
2,6067,59
1,1797,60
2,3254,60
1,794,61
2,1450,61
1,2093,62
2,3457,62
1,1976,63
2,2929,63
1,3891,64
2,5180,64
1,765,65
2,1266,65
1,1525,66
2,2256,66
1,2902,67
2,3995,67
1,1403,68
2,2118,68
1,10805,69
2,14055,69
1,395,70
2,703,70
1,1706,71
2,2944,71
1,1482,72
2,2310,72
1,953,73
2,1648,73
1,2346,74
2,3060,74
1,23444,75
2,28308,75
1,2827,76
2,4511,76
1,3809,77
2,5526,77
1,3137,78
2,4027,78
1,711,79
2,1270,79
1,1569,80
2,2370,80
1,747,81
2,1365,81
1,477,82
2,952,82
1,3454,83
2,5292,83
1,1057,84
2,1759,84
1,1245,85
2,2105,85
1,877,86
2,1506,86
1,1658,87
2,2486,87
1,718,88
2,1123,88
1,689,89
2,1208,89
1,182,90
2,278,90
1,6899,91
2,8652,91
1,11478,92
2,13608,92
1,14225,93
2,16646,93
1,12088,94
2,13974,94
1,3602,95
2,5743,95
1,1087,100
2,1725,100
1,1371,101
2,2148,101
