gravite,count,dep
1,1269,1
2,1338,1
3,792,1
4,154,1
1,614,2
2,467,2
3,515,2
4,122,2
1,711,3
2,494,3
3,550,3
4,91,3
1,602,4
2,558,4
3,427,4
4,62,4
1,802,5
2,848,5
3,373,5
4,45,5
1,3035,6
2,2871,6
3,1314,6
4,193,6
1,701,7
2,681,7
3,503,7
4,76,7
1,258,8
2,190,8
3,233,8
4,58,8
1,490,9
2,517,9
3,258,9
4,47,9
1,1618,10
2,1663,10
3,449,10
4,106,10
1,1325,11
2,1161,11
3,771,11
4,133,11
1,667,12
2,580,12
3,541,12
4,103,12
1,10938,13
2,13522,13
3,3487,13
4,459,13
1,2084,14
2,1886,14
3,1031,14
4,149,14
1,536,15
2,417,15
3,296,15
4,38,15
1,502,16
2,362,16
3,541,16
4,92,16
1,2099,17
2,1840,17
3,1065,17
4,219,17
1,683,18
2,440,18
3,478,18
4,108,18
1,593,19
2,571,19
3,419,19
4,54,19
1,755,21
2,520,21
3,595,21
4,126,21
1,1722,22
2,1454,22
3,1044,22
4,189,22
1,190,23
2,76,23
3,164,23
4,36,23
1,773,24
2,446,24
3,725,24
4,126,24
1,1371,25
2,1142,25
3,727,25
4,116,25
1,1166,26
2,1026,26
3,810,26
4,134,26
1,1696,27
2,1768,27
3,778,27
4,144,27
1,858,28
2,691,28
3,640,28
4,98,28
1,2857,29
2,3076,29
3,1320,29
4,199,29
1,1559,30
2,1327,30
3,1274,30
4,207,30
1,2814,31
2,2319,31
3,1428,31
4,251,31
1,483,32
2,411,32
3,422,32
4,66,32
1,6331,33
2,5653,33
3,2021,33
4,343,33
1,2641,34
2,2150,34
3,1711,34
4,289,34
1,3562,35
2,3247,35
3,1177,35
4,201,35
1,361,36
2,271,36
3,323,36
4,71,36
1,2816,37
2,2782,37
3,828,37
4,138,37
1,2644,38
2,2406,38
3,1787,38
4,250,38
1,447,39
2,341,39
3,472,39
4,103,39
1,602,40
2,327,40
3,578,40
4,125,40
1,716,41
2,565,41
3,535,41
4,104,41
1,1566,42
2,1571,42
3,1011,42
4,147,42
1,563,43
2,457,43
3,481,43
4,90,43
1,2258,44
2,1740,44
3,1358,44
4,284,44
1,2126,45
2,2095,45
3,790,45
4,148,45
1,345,46
2,182,46
3,327,46
4,54,46
1,782,47
2,635,47
3,617,47
4,121,47
1,204,48
2,202,48
3,220,48
4,31,48
1,2656,49
2,2798,49
3,1151,49
4,153,49
1,1802,50
2,1499,50
3,854,50
4,143,50
1,2327,51
2,2156,51
3,721,51
4,146,51
1,370,52
2,330,52
3,277,52
4,68,52
1,474,53
2,208,53
3,464,53
4,72,53
1,2471,54
2,2547,54
3,773,54
4,146,54
1,343,55
2,335,55
3,280,55
4,61,55
1,2074,56
2,2095,56
3,997,56
4,209,56
1,1328,57
2,1116,57
3,959,57
4,183,57
1,577,58
2,551,58
3,371,58
4,87,58
1,4089,59
2,3621,59
3,2038,59
4,408,59
1,1797,60
2,2152,60
3,943,60
4,159,60
1,794,61
2,714,61
3,618,61
4,118,61
1,2093,62
2,1552,62
3,1653,62
4,252,62
1,1976,63
2,1816,63
3,942,63
4,171,63
1,3891,64
2,3924,64
3,1070,64
4,186,64
1,765,65
2,743,65
3,457,65
4,66,65
1,1525,66
2,1461,66
3,664,66
4,131,66
1,2902,67
2,2886,67
3,940,67
4,169,67
1,1403,68
2,1179,68
3,824,68
4,115,68
1,10805,69
2,11417,69
3,2379,69
4,259,69
1,395,70
2,204,70
3,409,70
4,90,70
1,1706,71
2,1729,71
3,1020,71
4,195,71
1,1482,72
2,1603,72
3,585,72
4,122,72
1,953,73
2,785,73
3,739,73
4,124,73
1,2346,74
2,1707,74
3,1167,74
4,186,74
1,23444,75
2,26365,75
3,1754,75
4,189,75
1,2827,76
2,2899,76
3,1397,76
4,215,76
1,3809,77
2,3874,77
3,1368,77
4,284,77
1,3137,78
2,2999,78
3,867,78
4,161,78
1,711,79
2,573,79
3,585,79
4,112,79
1,1569,80
2,1573,80
3,650,80
4,147,80
1,747,81
2,698,81
3,539,81
4,128,81
1,477,82
2,339,82
3,512,82
4,101,82
1,3454,83
2,2897,83
3,2098,83
4,297,83
1,1057,84
2,696,84
3,914,84
4,149,84
1,1245,85
2,848,85
3,1054,85
4,203,85
1,877,86
2,776,86
3,610,86
4,120,86
1,1658,87
2,1785,87
3,615,87
4,86,87
1,718,88
2,449,88
3,576,88
4,98,88
1,689,89
2,567,89
3,500,89
4,141,89
1,182,90
2,115,90
3,130,90
4,33,90
1,6899,91
2,7498,91
3,988,91
4,166,91
1,11478,92
2,12468,92
3,1033,92
4,107,92
1,14225,93
2,14866,93
3,1647,93
4,133,93
1,12088,94
2,12797,94
3,1072,94
4,105,94
1,3602,95
2,4804,95
3,808,95
4,131,95
1,1087,100
2,1178,100
3,491,100
4,56,100
1,1371,101
2,1491,101
3,574,101
4,83,101
