dep,nb_accidents,atm,surf,lum,int,catr,vma,heure,weekend,nuit,gravite
01,1020,1,2,1,2,1,45,14,0,0,0
02,980,2,1,2,1,2,70,15,1,1,1
03,1050,3,2,3,2,3,90,10,0,0,2
04,1010,1,1,1,1,1,50,14,0,0,0
05,990,2,1,2,1,2,70,15,1,1,1
06,1025,3,2,3,2,3,90,10,0,0,2
07,1005,1,2,1,2,1,50,14,0,0,0
08,985,2,1,2,1,2,70,15,1,1,1
09,1030,3,2,3,2,3,90,10,0,0,2
10,1015,1,1,1,1,1,50,14,0,0,0
11,990,2,1,2,1,2,70,15,1,1,1
12,1022,3,2,3,2,3,90,10,0,0,2
13,1018,1,2,1,2,1,50,14,0,0,0
14,985,2,1,2,1,2,70,15,1,1,1
15,1035,3,2,3,2,3,90,10,0,0,2
16,1008,1,1,1,1,1,50,14,0,0,0
17,990,2,1,2,1,2,70,15,1,1,1
18,1027,3,2,3,2,3,90,10,0,0,2
19,1012,1,2,1,2,1,50,14,0,0,0
20,985,2,1,2,1,2,70,15,1,1,1
21,1032,3,2,3,2,3,90,10,0,0,2
22,1010,1,1,1,1,1,50,14,0,0,0
23,990,2,1,2,1,2,70,15,1,1,1
24,1020,3,2,3,2,3,90,10,0,0,2
25,1015,1,2,1,2,1,50,14,0,0,0
26,985,2,1,2,1,2,70,15,1,1,1
27,1030,3,2,3,2,3,90,10,0,0,2
28,1008,1,1,1,1,1,50,14,0,0,0
29,990,2,1,2,1,2,70,15,1,1,1
30,1025,3,2,3,2,3,90,10,0,0,2
31,1012,1,2,1,2,1,50,14,0,0,0
32,985,2,1,2,1,2,70,15,1,1,1
33,1033,3,2,3,2,3,90,10,0,0,2
34,1010,1,1,1,1,1,50,14,0,0,0
35,990,2,1,2,1,2,70,15,1,1,1
36,1022,3,2,3,2,3,90,10,0,0,2
37,1015,1,2,1,2,1,50,14,0,0,0
38,985,2,1,2,1,2,70,15,1,1,1
39,1030,3,2,3,2,3,90,10,0,0,2
40,1018,1,1,1,1,1,50,14,0,0,0
41,990,2,1,2,1,2,70,15,1,1,1
42,1027,3,2,3,2,3,90,10,0,0,2
43,1012,1,2,1,2,1,50,14,0,0,0
44,985,2,1,2,1,2,70,15,1,1,1
45,1035,3,2,3,2,3,90,10,0,0,2
46,1008,1,1,1,1,1,50,14,0,0,0
47,990,2,1,2,1,2,70,15,1,1,1
48,1020,3,2,3,2,3,90,10,0,0,2
49,1015,1,2,1,2,1,50,14,0,0,0
50,985,2,1,2,1,2,70,15,1,1,1
51,1032,3,2,3,2,3,90,10,0,0,2
52,1010,1,1,1,1,1,50,14,0,0,0
53,990,2,1,2,1,2,70,15,1,1,1
54,1025,3,2,3,2,3,90,10,0,0,2
55,1012,1,2,1,2,1,50,14,0,0,0
56,985,2,1,2,1,2,70,15,1,1,1
57,1030,3,2,3,2,3,90,10,0,0,2
58,1008,1,1,1,1,1,50,14,0,0,0
59,990,2,1,2,1,2,70,15,1,1,1
60,1027,3,2,3,2,3,90,10,0,0,2
61,1012,1,2,1,2,1,50,14,0,0,0
62,985,2,1,2,1,2,70,15,1,1,1
63,1035,3,2,3,2,3,90,10,0,0,2
64,1000,1,1,1,1,1,50,14,0,0,0
65,990,2,1,2,1,2,70,15,1,1,1
66,1022,3,2,3,2,3,90,10,0,0,2
67,1015,1,2,1,2,1,50,14,0,0,0
68,985,2,1,2,1,2,70,15,1,1,1
69,1030,3,2,3,2,3,90,10,0,0,2
70,1018,1,1,1,1,1,50,14,0,0,0
71,990,2,1,2,1,2,70,15,1,1,1
72,1027,3,2,3,2,3,90,10,0,0,2
73,1012,1,2,1,2,1,50,14,0,0,0
74,985,2,1,2,1,2,70,15,1,1,1
75,1035,3,2,3,2,3,90,10,0,0,2
76,1008,1,1,1,1,1,50,14,0,0,0
77,990,2,1,2,1,2,70,15,1,1,1
78,1020,3,2,3,2,3,90,10,0,0,2
79,1015,1,2,1,2,1,50,14,0,0,0
80,985,2,1,2,1,2,70,15,1,1,1
81,1032,3,2,3,2,3,90,10,0,0,2
82,1010,1,1,1,1,1,50,14,0,0,0
83,990,2,1,2,1,2,70,15,1,1,1
84,1025,3,2,3,2,3,90,10,0,0,2
85,1012,1,2,1,2,1,50,14,0,0,0
86,985,2,1,2,1,2,70,15,1,1,1
87,1030,3,2,3,2,3,90,10,0,0,2
88,1008,1,1,1,1,1,50,14,0,0,0
89,990,2,1,2,1,2,70,15,1,1,1
90,1027,3,2,3,2,3,90,10,0,0,2
91,1012,1,2,1,2,1,50,14,0,0,0
92,985,2,1,2,1,2,70,15,1,1,1
93,1035,3,2,3,2,3,90,10,0,0,2
94,1000,1,1,1,1,1,50,14,0,0,0
95,990,2,1,2,1,2,70,15,1,1,1
